handle,profile_url,source_type,whatsapp
@dra.vitoriabruna,https://www.instagram.com/dra.vitoriabruna/,instagram,
@dramariajoaquinaa,https://www.instagram.com/dramariajoaquinaa/,instagram
@dra.sophiasaless,https://www.instagram.com/dra.sophiasaless/,instagram
@jessicacolmanterapeuta,https://www.instagram.com/jessicacolmanterapeuta/,instagram
@dralauraborgess,https://www.instagram.com/dralauraborgess/,instagram
@dra.mariliabiselli,https://www.instagram.com/dra.mariliabiselli/,instagram
@madevitto,https://www.instagram.com/madevitto/,instagram
@marcelasamira.estetica,https://www.instagram.com/marcelasamira.estetica/,instagram
@eduardabuganca,https://www.instagram.com/eduardabuganca/,instagram
@mariaebrandaos,https://www.instagram.com/mariaebrandaos/,instagram
@evelyn_caregnato,https://www.instagram.com/evelyn_caregnato/,instagram
@jaiannacampos.endocrino,https://www.instagram.com/jaiannacampos.endocrino/,instagram
@drarebecadiogenes,https://www.instagram.com/drarebecadiogenes/,instagram
@biancafraga.saudeavancada,https://www.instagram.com/biancafraga.saudeavancada/,instagram
@sarahsteinerbeauty,https://www.instagram.com/sarahsteinerbeauty/,instagram
@nutricamicecchini,https://www.instagram.com/nutricamicecchini/,instagram
@dratifanyschmidt,https://www.instagram.com/dratifanyschmidt/,instagram
@nataliasbbeauty,https://www.instagram.com/nataliasbbeauty/,instagram
@dratauanavanzella,https://www.instagram.com/dratauanavanzella/,instagram
@dra.larissabarbosa,https://www.instagram.com/dra.larissabarbosa/,instagram
@talitaromagna.nutri,https://www.instagram.com/talitaromagna.nutri/,instagram
@dra.alessandrapinheiro,https://www.instagram.com/dra.alessandrapinheiro/,instagram
@deborahcollino_arquitetura,https://www.instagram.com/deborahcollino_arquitetura/,instagram
@draleilaluz,https://www.instagram.com/draleilaluz/,instagram
@dra.marcellilopes,https://www.instagram.com/dra.marcellilopes/,instagram
@dra.victoriafarias,https://www.instagram.com/dra.victoriafarias/,instagram
@ferlyra.story,https://www.instagram.com/ferlyra.story/,instagram
@draleticiamalta,https://www.instagram.com/draleticiamalta/,instagram
@dra.brunaborghese,https://www.instagram.com/dra.brunaborghese/,instagram
@drajessicameire,https://www.instagram.com/drajessicameire/,instagram
@dra.julienefrighetto,https://www.instagram.com/dra.julienefrighetto/,instagram
@dralarapiresn,https://www.instagram.com/dralarapiresn/,instagram
@dravanessabertoldi,https://www.instagram.com/dravanessabertoldi/,instagram
@viifreire.nutri,https://www.instagram.com/viifreire.nutri/,instagram
@draraisavrubertaoki,https://www.instagram.com/draraisavrubertaoki/,instagram
@paulianatavares,https://www.instagram.com/paulianatavares/,instagram
@drabrunadresch,https://www.instagram.com/drabrunadresch/,instagram
@veronicabiloti,https://www.instagram.com/veronicabiloti/,instagram
@draraynnakaroline,https://www.instagram.com/draraynnakaroline/,instagram
@gleice.fisio,https://www.instagram.com/gleice.fisio/,instagram
@draclaudia_siqueira,https://www.instagram.com/draclaudia_siqueira/,instagram
@taisalba,https://www.instagram.com/taisalba/,instagram
@mikaestetica_tami,https://www.instagram.com/mikaestetica_tami/,instagram
@rogeria.massoterapeuta,https://www.instagram.com/rogeria.massoterapeuta/,instagram
@esteticamarci_bentogoncalves,https://www.instagram.com/esteticamarci_bentogoncalves/,instagram
@millenakepler.esteticista,https://www.instagram.com/millenakepler.esteticista/,instagram
@neurodespertar_,https://www.instagram.com/neurodespertar_/,instagram
@dr.angelozanin,https://www.instagram.com/dr.angelozanin/,instagram
@draprimeyer,https://www.instagram.com/draprimeyer/,instagram
@dravictoriamello,https://www.instagram.com/dravictoriamello/,instagram
@luizanegreirosdermato,https://www.instagram.com/luizanegreirosdermato/,instagram
@dra.desireeguarnieri,https://www.instagram.com/dra.desireeguarnieri/,instagram
@dra.brendalorenzi,https://www.instagram.com/dra.brendalorenzi/,instagram
@dra.jessicawallerius,https://www.instagram.com/dra.jessicawallerius/,instagram,https://wa.me/5551995054431
@dra_daniellavarela,https://www.instagram.com/dra_daniellavarela/,instagram
@dra.sophiasarmento,https://www.instagram.com/dra.sophiasarmento/,instagram
@suaassistentesu,https://www.instagram.com/suaassistentesu/,instagram
@giovana.miranda_,https://www.instagram.com/giovana.miranda_/,instagram
@hajimeodontologia,https://www.instagram.com/hajimeodontologia/,instagram
@eumoniquemoraes,https://www.instagram.com/eumoniquemoraes/,instagram
@goelzeremedeiros.adv,https://www.instagram.com/goelzeremedeiros.adv/,instagram
